tic;x;y;z;angle;momx;momy;shield;health;ammo;sector_x;sector_y
1391;378;-1335;-8;7629;0;5;0;92;46;1;-5
1426;439;-1137;-8;14484;0;1;0;91;46;1;-4
1461;461;-1119;-8;17297;3;-1;0;85;45;1;-4
1496;554;-1140;-8;19230;-1;-1;0;81;45;2;-4
1618;524;-1173;-8;22922;-4;-5;0;81;41;2;-4
1653;460;-1398;-8;33293;3;-7;0;81;41;1;-5
1688;604;-1514;-8;28195;0;-1;0;81;41;2;-6
1732;601;-1513;-8;14836;-4;2;0;81;41;2;-6
1767;463;-1330;-8;8684;-1;7;0;81;41;1;-5
1802;430;-1050;-8;11496;-3;7;0;81;41;1;-4
1837;294;-794;-8;11496;-5;7;0;81;41;1;-3
1872;160;-545;-8;15539;-3;4;0;100;141;0;-2
1907;260;-561;-8;15539;6;-4;0;100;200;1;-2
1942;371;-580;-8;10090;-1;5;0;100;200;1;-2
1977;351;-479;-8;13254;-2;1;0;100;200;1;-1
2012;298;-465;-8;18000;-4;-1;0;100;200;1;-1
2047;58;-473;-8;16418;-7;-1;0;100;200;0;-1
2082;-11;-475;-8;4113;-1;-1;0;100;200;0;-1
2117;36;-465;-8;3410;1;0;0;100;200;0;-1
2152;185;-451;0;6398;3;1;0;100;200;0;-1
2187;198;-297;0;9211;-1;7;0;100;200;0;-1
2222;283;-81;0;422;0;0;0;100;200;1;0
2257;373;-135;0;35543;2;-2;0;100;200;1;0
2302;407;-51;0;7277;1;7;0;100;200;1;0
2337;432;3;0;9035;0;-7;0;100;200;1;0
2372;424;-106;0;9035;-2;-4;0;100;200;1;0
2407;349;-176;0;12023;-1;0;0;100;200;1;0
2442;300;-96;0;4816;-1;0;0;100;200;1;0
2477;341;-79;0;3059;3;0;0;100;200;1;0
2512;413;-18;0;6223;3;5;0;100;200;1;0
2547;435;-33;0;7629;-2;-7;0;100;200;1;0
2582;362;-154;0;9387;-1;4;0;100;200;1;0
2617;402;-14;0;7277;0;0;0;100;200;1;0
2662;411;-9;0;9387;-1;-1;0;91;198;1;0
2697;415;-117;0;9035;-1;-1;0;82;198;1;0
2732;419;47;0;8156;0;-1;0;82;198;1;0
2767;409;-35;0;9738;0;0;0;82;198;1;0
2802;417;-75;0;7453;0;-1;0;81;197;1;0
2837;429;-65;0;7453;0;2;0;65;196;1;0
2872;438;-46;0;12199;-1;-1;0;55;194;1;0
2907;442;-74;0;10441;0;-1;0;31;192;1;0
2960;440;-86;0;10266;-1;-1;0;11;190;1;0
2995;424;-106;0;6835;-1;-1;0;0;189;1;0
3274;285;-1529;-58;18668;-3;-1;0;100;50;1;-6
3309;178;-1540;-23;10055;-1;-1;0;100;50;0;-6
3344;214;-1504;-8;6363;1;1;0;100;50;0;-6
3379;234;-1354;-8;8648;0;5;0;100;50;0;-5
3414;238;-1254;-8;9352;0;0;0;100;48;0;-5
3529;236;-1237;-8;9879;-1;4;0;100;42;0;-4
3564;208;-982;-8;8648;0;8;0;100;42;0;-3
3599;223;-693;-8;10582;-1;8;0;100;42;0;-2
3634;190;-497;-8;16031;-1;1;0;100;142;0;-1
3669;154;-525;-8;23414;-3;-3;0;100;200;0;-2
3704;132;-555;-8;34488;1;-1;0;100;200;0;-2
3739;235;-584;-8;6047;0;-1;0;100;200;0;-2
3774;230;-462;0;6574;-1;3;0;100;200;0;-1
3826;246;-486;-8;35719;0;-2;0;100;200;0;-1
3861;305;-465;-8;7277;0;0;0;100;200;1;-1
3896;320;-465;-8;10617;0;0;0;100;200;1;-1
3942;150;-461;0;17297;-8;0;0;100;200;0;-1
3977;143;-465;0;20461;-1;-3;0;100;200;0;-1
4012;75;-465;-8;13254;-2;0;0;100;200;0;-1
4047;132;-523;-8;8508;0;-1;0;100;200;0;-2
4082;179;-323;0;7805;1;7;0;100;200;0;-1
4117;286;-81;0;422;0;0;0;100;200;1;0
4152;453;-70;0;6223;2;2;0;100;200;1;0
4187;460;45;0;10090;0;-3;0;100;200;1;0
4222;474;-31;0;19406;0;-1;0;100;200;1;0
4257;289;-113;0;17648;-8;-2;0;100;200;1;0
4292;121;-39;0;13957;-5;5;0;100;200;0;0
4327;-89;114;8;15188;-4;1;0;100;200;0;0
4362;-122;134;8;17824;-1;0;0;100;200;0;0
4957;-221;-209;-40;1512;7;0;0;20;200;0;0
4992;-45;-67;-24;11180;-1;0;0;20;200;0;0
5027;-222;35;0;9949;-4;2;0;20;200;0;0
5062;-197;90;0;1160;6;1;0;20;200;0;0
5097;56;96;0;31359;6;-4;0;45;200;0;0
5132;233;-103;0;34523;2;-4;0;45;200;0;0
5167;379;-115;0;1336;-3;-1;0;70;200;1;0
5202;183;-163;0;33996;-3;-1;0;70;200;0;0
5237;238;-292;0;25031;-1;-5;0;70;200;0;-1
5272;171;-532;-8;26965;-1;-9;0;70;200;0;-2
5307;163;-644;-8;1688;-1;-1;0;95;200;0;-2
5342;202;-503;-8;9422;0;7;0;95;200;0;-2
5377;206;-220;0;9246;-1;8;0;95;200;0;0
5412;119;32;0;16805;-7;3;0;95;200;0;0
5447;-142;128;8;17859;-6;0;0;95;200;0;0
5482;-137;140;8;17508;0;0;0;95;200;0;0
5538;-103;144;8;105;5;0;0;95;200;0;0
5573;126;65;0;31008;5;-6;0;95;200;0;0
